"","norm_avg","norm_std","c1_avg","c1_std","c2_avg","c2_std","c3_avg","c3_std","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg01782798",0.390580653744829,0.107497044600291,0.723434850988878,0.195057936507403,0.832963501247068,0.126418199710329,0.596941850662139,0.230613128987308,5.79564174429947e-11,1.18349774425042e-13,1.07182041020337e-11,2.48384646184263e-10,3.55049323275125e-13,1.60773061530506e-10
"cg03082060",0.659021936586207,0.0480564420223241,0.662993945538339,0.23307666786533,0.815609367824995,0.142634326501336,0.666281443882954,0.207153884759281,0.00162675270817936,1.18349774425042e-13,5.19105421492583e-06,0.0020334408852242,3.55049323275125e-13,1.55731626447775e-05
"cg03673737",0.072567372522906,0.0161189292655681,0.404350915816627,0.287822956838979,0.116954489646484,0.1253324299833,0.125526748076613,0.132660936957198,1.26707111580693e-07,0.0714956927578183,0.0156544382417534,3.16767778951732e-07,0.085794831309382,0.0187853258901041
"cg04131583",0.0297403666136325,0.0151501331884474,0.228844041161438,0.221489792651968,0.0404826901031623,0.0728975482133065,0.0397557437866132,0.0453424874909819,4.33599472215995e-07,0.590809289422608,0.273376930076003,1.0006141666523e-06,0.633009952952794,0.273376930076003
"cg04291383",0.928814350141206,0.0181927357988819,0.753255619296942,0.190614198373415,0.911468642267188,0.0722599159707916,0.879911867976656,0.0807278588028711,5.92857866132945e-08,0.76946603564992,0.000742887016683458,1.77857359839884e-07,0.76946603564992,0.00111433052502519
"cg08321111",0.52599012745094,0.0525128533210204,0.726256162358501,0.191317462685622,0.820819135721318,0.124405750930648,0.609709921588811,0.239601934621711,1.26707111580693e-07,1.18349774425042e-13,7.41541914461852e-06,3.16767778951732e-07,3.55049323275125e-13,2.02238703944141e-05
"cg08323277",0.405197494631488,0.0451902819394274,0.519023484504211,0.187570363379938,0.267364279180714,0.114322240890036,0.35974028536518,0.146972689010656,0.00064561198843982,1.18349774425042e-13,1.54991806977645e-06,0.000842102593617157,3.55049323275125e-13,6.64250601332762e-06
"cg09528501",0.637915436051077,0.0776894195247223,0.626955658366542,0.200436982853631,0.820313795305522,0.12041983526595,0.645839426301483,0.243575990839715,0.00450480941403064,1.18349774425042e-13,3.83895196220951e-06,0.0051978570161892,3.55049323275125e-13,1.27965065406984e-05
"cg10334354",0.119350907813811,0.0496330346424185,0.333728631374883,0.207308527374731,0.113169046793783,0.0681066287567166,0.144629428171005,0.0739592185042669,6.0839491001774e-06,0.0780690331102317,0.0239189436811507,1.14074045628326e-05,0.0900796535887289,0.0271223388640829
"cg10343787",0.28750635525561,0.0331882760535841,0.2470024937098,0.120591394333719,0.236225254487891,0.126137326796009,0.198973134308904,0.108506511914348,0.00064561198843982,3.2455138576637e-10,1.79825709878401e-10,0.000842102593617157,6.95467255213649e-10,1.348692824088e-09
"cg10595181",0.885850398334157,0.023436358142638,0.869342393606641,0.0854966590682301,0.869509893380856,0.0804190710223514,0.831660505549349,0.131433367443365,0.371597144947373,0.0401450922444722,0.013361011331246,0.384410839600731,0.0501813653055902,0.0167012641640575
"cg11337388",0.516588096099927,0.0300325303314802,0.687339592595247,0.107981414131556,0.720502307322204,0.0970236946720197,0.608481036557862,0.155511566088949,0,1.18349774425042e-13,1.79825709878401e-10,0,3.55049323275125e-13,1.348692824088e-09
"cg11382589",0.649823256055945,0.0467126327666219,0.593940098963922,0.175208537316486,0.711565330676687,0.176657817019655,0.63002104100381,0.164138995193649,0.00011696589868615,5.84230671507591e-07,0.0048386183551371,0.0001846829979255,1.03099530266045e-06,0.00659811593882332
"cg11731892",0.0538508274078537,0.0130441003530034,0.0544757059456958,0.0116778234902991,0.0512316177321361,0.0113011505304044,0.0503422922711639,0.0108321628623257,0.763631583352088,0.142443279879861,0.0244101049776746,0.763631583352088,0.158270310977624,0.0271223388640829
"cg12839556",0.882776611031921,0.0335066120262,0.766448213553663,0.131974944492147,0.882352874230221,0.0458904560721512,0.841152778364869,0.0565878730691664,2.21555256426642e-05,0.758527612409635,8.77419501946752e-05,3.9097986428231e-05,0.76946603564992,0.000202481423526174
"cg14029856",0.75102681393136,0.0540586645474281,0.482945336663808,0.243274442189864,0.76453660560456,0.177585948900506,0.680521412131196,0.187467945506416,1.54417797437745e-08,2.0750566132044e-07,0.000373587175696466,5.14725991459149e-08,3.89073114975824e-07,0.000589874487941788
"cg16002441",0.202067021688422,0.0443752049146837,0.308256968389951,0.134919440103339,0.213726317143598,0.0952324247192169,0.185777557398319,0.0740049425762079,4.29180166161558e-06,0.0125268487106204,0.0273153171245799,8.58360332323116e-06,0.0163393678834179,0.029266411204907
"cg16557698",0.861798993718338,0.0314533776681897,0.702767403919945,0.182913249039893,0.894564378913359,0.106458506409619,0.851911206662452,0.151182086957389,8.73913157728445e-07,1.18349774425042e-13,3.66779148164298e-07,1.87267105227524e-06,3.55049323275125e-13,2.20067488898579e-06
"cg17511472",0.371563383287932,0.0517898188091145,0.528384851279687,0.227953926232139,0.259602974825985,0.126609214457357,0.3689253771043,0.136514931145397,6.79749971950194e-05,1.39666056497845e-13,0.0550019172631623,0.000113291661991699,3.80907426812304e-13,0.0568985350998231
"cg17844831",0.413946578534877,0.0523825668373389,0.708025643620077,0.131018506924786,0.476008013367758,0.229931802890168,0.467317483955026,0.174719120321819,0,1.85700166022151e-07,2.64838548139634e-05,0,3.71400332044303e-07,6.62096370349086e-05
"cg18026820",0.816678086996918,0.0284636209858144,0.528596707206213,0.135911981635122,0.787306092817959,0.134886193810962,0.713780701960977,0.15105926192174,0,8.53915221554757e-06,5.52718510959949e-07,0,1.34828719192856e-05,2.76359255479974e-06
"cg18986078",0.710666545541858,0.0592550514529527,0.894321859499659,0.109854612971967,0.73143674328736,0.149736909204185,0.660400996872239,0.218509116667029,0,0.000167864913878435,0.000104202612896342,0,0.00022890670074332,0.000208405225792685
"cg20132581",0.957946269954642,0.0130734697708186,0.925767721281529,0.142315654716388,0.94831339899791,0.0160741636847438,0.945103510696646,0.0197159488242498,0.0212231491008964,4.31761955776988e-06,0.000171371464757208,0.0235812767787738,7.19603259628313e-06,0.000321321496419766
