"","master_list","e0"
"1","cg09362543",0
"2","cg15839431",0
"3","cg01414289",0
"4","cg22646393",0
"5","cg24726783",1
"6","cg06273010",0
"7","cg23136139",0
"8","cg11248812",1
"9","cg09845709",0
"10","cg17833862",0
"11","cg02109189",0
"12","cg07881405",0
"13","cg11095099",0
"14","cg25308086",0
"15","cg02192677",0
"16","cg24592782",0
"17","cg19679543",0
"18","cg24500799",0
"19","cg23417096",0
"20","cg16575291",0
"21","cg12166899",0
"22","cg06373817",0
"23","cg22161874",0
"24","cg19375123",0
"25","cg04553309",0
"26","cg22080027",0
"27","cg11870956",0
"28","cg07156249",0
"29","cg20421191",0
"30","cg17229929",0
"31","cg07262519",0
"32","cg25515269",0
"33","cg19494818",0
"34","cg03926640",0
"35","cg08600054",1
"36","cg11803017",0
"37","cg00550928",1
"38","cg16551520",0
"39","cg08586642",0
"40","cg02705837",0
"41","cg19040620",0
"42","cg08813944",0
"43","cg08671343",0
"44","cg03302259",0
"45","cg12137286",0
"46","cg01286950",0
"47","cg14852082",0
"48","cg17777708",0
"49","cg23528034",0
"50","cg05054460",0
"51","cg08307469",0
"52","cg04076817",0
"53","cg01119072",0
"54","cg05003322",0
"55","cg05494269",0
"56","cg02925831",0
"57","cg05754861",0
"58","cg23385732",0
"59","cg05230642",1
"60","cg16100244",0
"61","cg08173959",0
"62","cg02812482",0
"63","cg02849766",0
"64","cg25734726",0
"65","cg20624886",0
"66","cg26103587",0
"67","cg25658884",0
"68","cg27312458",1
"69","cg04891086",1
"70","cg03124880",0
"71","cg25957092",0
"72","cg07468037",0
"73","cg12542933",0
"74","cg17249452",1
"75","cg04585787",0
"76","cg07674570",0
"77","cg24064506",0
"78","cg25244036",0
"79","cg26236278",0
"80","cg26979473",0
"81","cg26756862",0
"82","cg12838207",0
"83","cg15223895",0
"84","cg07744616",0
"85","cg18634665",0
"86","cg12926938",0
"87","cg14479947",0
"88","cg16716659",0
"89","cg16781205",1
"90","cg14749465",0
"91","cg24919753",0
"92","cg11623293",0
"93","cg10547893",0
"94","cg16232071",1
"95","cg25628898",1
"96","cg06246646",1
"97","cg05875110",0
"98","cg14237069",0
"99","cg07516307",0
"100","cg12420948",0
"101","cg00670552",0
"102","cg03723270",0
"103","cg14795968",1
"104","cg19635501",0
"105","cg05120042",0
"106","cg19015897",1
"107","cg27480553",0
"108","cg20205061",0
"109","cg03514977",0
"110","cg11832210",1
"111","cg09051775",0
"112","cg05832869",0
"113","cg00088464",0
"114","cg05731183",0
"115","cg15194935",0
"116","cg25928603",0
"117","cg22640010",0
"118","cg20647610",0
"119","cg13682095",0
"120","cg04968127",0
"121","cg10606415",0
"122","cg07919108",0
"123","cg25151376",0
"124","cg17035698",0
"125","cg05273533",0
"126","cg03497399",0
"127","cg05541640",0
"128","cg16677144",0
"129","cg03921357",0
"130","cg05385331",0
"131","cg26817972",0
"132","cg12132731",0
"133","cg02848835",0
"134","cg17574269",0
"135","cg15305361",0
"136","cg21884509",0
"137","cg02771117",0
"138","cg23331238",0
"139","cg15550433",0
"140","cg07456815",1
"141","cg11202131",0
"142","cg00929345",0
"143","cg01903327",0
"144","cg10538275",0
"145","cg04809597",0
"146","cg04920689",0
"147","cg11884243",0
"148","cg14894245",0
"149","cg04566796",0
"150","cg19215110",0
"151","cg06805323",0
"152","cg06891815",0
"153","cg01205011",0
"154","cg21875168",1
"155","cg10002977",0
"156","cg26956535",0
"157","cg15264991",0
"158","cg05215420",0
"159","cg23469417",0
"160","cg03318667",0
"161","cg06629644",0
"162","cg02494584",0
"163","cg02049955",0
"164","cg21501358",0
"165","cg12377874",0
"166","cg23630423",1
"167","cg06442637",0
"168","cg07318128",0
"169","cg18008451",0
"170","cg10828577",0
"171","cg26693451",0
"172","cg11301281",0
"173","cg08441248",0
"174","cg13357408",0
"175","cg04054731",0
"176","cg00902427",0
"177","cg09484077",0
"178","cg08100687",1
"179","cg10543500",0
"180","cg11317909",0
"181","cg21667244",0
"182","cg17804886",0
"183","cg11353548",0
"184","cg25967418",0
"185","cg16086570",0
"186","cg18296251",0
"187","cg04741853",0
"188","cg03332469",1
"189","cg22268271",0
"190","cg26692294",0
"191","cg15816271",0
"192","cg08395793",0
"193","cg05768427",0
"194","cg11971027",0
"195","cg25323888",0
"196","cg06029846",0
"197","cg03853743",0
"198","cg14984664",0
"199","cg02955631",1
"200","cg01464515",0
"201","cg25059070",0
"202","cg18640250",0
"203","cg27339188",0
"204","cg00492070",1
"205","cg16498741",0
"206","cg15396395",0
"207","cg02140559",0
"208","cg10922915",0
"209","cg13845561",1
"210","cg02362508",1
"211","cg27363691",0
"212","cg05694382",0
"213","cg11823637",0
"214","cg13607082",0
"215","cg18995558",0
"216","cg04036593",0
"217","cg24324379",0
"218","cg12661610",0
"219","cg06118338",0
"220","cg21000841",0
"221","cg17079497",0
"222","cg22518079",0
"223","cg15798890",0
"224","cg16713743",0
"225","cg06544111",1
"226","cg00514713",0
"227","cg20534694",0
"228","cg20950932",0
