"","norm_avg","c1_avg","c2_avg","c3_avg","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00376022",-2.30800764373056,-1.34152563851464,-2.31791776663963,-2.30891088240637,1.48282623069207e-07,0.165945964927711,0.262270890354508,3.49523325805988e-07,0.182540561420482,0.315685408367697
"cg00575003",-1.2362677688223,0.255315516669889,-1.09553805436079,-0.946019132975272,5.86546766712104e-08,0.0344305925156965,0.013760087067257,1.61300360845829e-07,0.0420818352969624,0.0267107572482047
"cg01514015",1.19530363320804,1.95570638798808,2.05679897392418,1.60412302181585,1.70376157626606e-10,0,1.263462179657e-05,6.24712577964222e-10,0,0.000104235629821703
"cg02299497",1.06298751572861,1.6017941080878,1.81608745029107,0.378758254445344,2.59215660056711e-05,2.16560103183383e-12,1.87582198609704e-05,3.71918120950933e-05,7.94053711672404e-12,0.000123804251082404
"cg04999999",3.10175472019396,1.55303415974214,2.80190828553606,2.1516481148828,1.56875648027466e-08,0.000198126785872832,6.86936055815934e-08,4.70626944082397e-08,0.000363232440766859,1.4469585849497e-06
"cg05120309",1.31993965322642,1.90030107587515,2.33844346922408,1.37944654487119,1.72163374909662e-05,0,0.010695604212646,2.58245062364493e-05,0,0.0235303292678213
"cg06261630",2.28257642074548,1.60230175947145,2.35508770412555,2.3083101775061,0.00116944694447441,3.35351568683251e-05,0.608425462433822,0.00137827675598769,6.50976574502781e-05,0.627438758134879
"cg06461708",-1.26238893197007,0.035384268465305,-1.33583606746352,-1.2570330265187,2.06279437975354e-13,2.93533858441997e-07,0.000527452089375546,1.13453690886445e-12,8.07218110715491e-07,0.00248655984991329
"cg08568720",-3.7007401722225,-1.44051731427029,-3.69951488222517,-3.73309034988466,3.39952961103673e-06,0.0246354103699271,0.494975006940275,6.23247095356734e-06,0.0312680208541383,0.526908878355777
"cg08991927",2.14182082952992,0.92749760174327,1.98714143583872,2.05200254942131,7.32878783726854e-06,0.0461155053284226,0.47260754156686,1.20924999314931e-05,0.0543504169942123,0.519868295723546
"cg09414045",-3.83567488872979,-3.42947035762755,-3.68961561382365,-3.70354362377731,4.86113669984078e-07,9.89292163600108e-06,0.0102115885554021,1.06945007396497e-06,2.04041508742522e-05,0.0235303292678213
"cg09550127",2.39198162315261,1.6396742220247,2.74727959292957,2.36740417347897,0.000938826209439414,1.65010116681685e-10,0.127081151737177,0.00114745425598151,5.44533385049562e-10,0.199698952729849
"cg09555153",2.12921229325285,2.13566546903159,2.3845721614706,2.15844693567833,0.0679680531584969,6.62165869913522e-07,0.256817275769713,0.0747648584743466,1.6808825928574e-06,0.315685408367697
"cg09777525",-2.93849435343004,-1.07919606907865,-3.44747756722143,-3.34402147994235,3.39952961103673e-06,0,8.76944596939211e-08,6.23247095356734e-06,0,1.4469585849497e-06
"cg13813623",-3.09924879040043,-3.17835943930442,-3.23333983022474,-3.2309648459624,0.613482234106292,0.00234061296525967,0.267854285887743,0.613482234106292,0.0035109194478895,0.315685408367697
"cg15165694",-2.73011603653719,-1.68875536774755,-3.18634011045352,-2.0680047114109,0.0472213853113514,0.117183172015017,0.21894386320369,0.0537346798370551,0.133346368155019,0.289005899428871
"cg16850518",2.375496779558,1.44829712946452,2.53856498771505,2.01866483287324,3.98436442302641e-05,2.37913050582517e-06,0.0279786546253538,5.25936103839486e-05,5.60795047801646e-06,0.0509065540900057
"cg16881064",-3.10470363712653,-0.0516305333298429,-2.6674137606647,-3.07149103901042,1.3541296972619e-09,0.194165260302528,0.443296809812609,4.46862800096426e-09,0.206692051289788,0.504441197372969
