Category,Term,Count,%,P-Value,Benjamini,convergence
GOTERM_BP_DIRECT,"positive regulation of transcription, DNA-templated",16,10.3,0.00048,0.57,conv_A
GOTERM_BP_DIRECT,regulation of developmental process,3,1.9,0.002,1,conv_A
GOTERM_BP_DIRECT,"negative regulation of transcription, DNA-templated",12,7.7,0.0061,1,conv_A
GOTERM_BP_DIRECT,vasculature development,3,1.9,0.0066,1,conv_A
GOTERM_BP_DIRECT,cation transmembrane transport,4,2.6,0.0071,1,conv_A
GOTERM_BP_DIRECT,neuron projection development,5,3.2,0.018,1,conv_A
GOTERM_BP_DIRECT,negative regulation of apoptotic process,10,6.4,0.022,1,conv_A
GOTERM_BP_DIRECT,positive regulation of transcription from RNA polymerase II promoter,17,10.9,0.024,1,conv_A
GOTERM_BP_DIRECT,peptidyl-tyrosine phosphorylation,5,3.2,0.025,1,conv_A
GOTERM_BP_DIRECT,positive regulation of excitatory postsynaptic potential,3,1.9,0.025,1,conv_A
GOTERM_BP_DIRECT,establishment of cell polarity,3,1.9,0.03,1,conv_A
GOTERM_BP_DIRECT,positive regulation of ureteric bud formation,2,1.3,0.03,1,conv_A
GOTERM_BP_DIRECT,gene expression,4,2.6,0.032,1,conv_A
GOTERM_BP_DIRECT,positive regulation of MAPK cascade,5,3.2,0.036,1,conv_A
GOTERM_BP_DIRECT,histone H3-K23 acetylation,2,1.3,0.038,1,conv_A
GOTERM_BP_DIRECT,regulation of transcription from RNA polymerase II promoter,21,13.5,0.042,1,conv_A
GOTERM_BP_DIRECT,apoptotic process,10,6.4,0.046,1,conv_A
GOTERM_BP_DIRECT,monocyte chemotaxis,3,1.9,0.047,1,conv_A
GOTERM_BP_DIRECT,phosphatidylinositol biosynthetic process,3,1.9,0.049,1,conv_A
GOTERM_BP_DIRECT,protein autophosphorylation,5,3.2,0.052,1,conv_A
GOTERM_BP_DIRECT,thymus development,3,1.9,0.053,1,conv_A
GOTERM_BP_DIRECT,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,2,1.3,0.06,1,conv_A
GOTERM_BP_DIRECT,positive regulation of epithelial cell differentiation,2,1.3,0.06,1,conv_A
GOTERM_BP_DIRECT,brain development,6,3.8,0.061,1,conv_A
GOTERM_BP_DIRECT,positive regulation of cell proliferation,9,5.8,0.065,1,conv_A
GOTERM_BP_DIRECT,pyramidal neuron development,2,1.3,0.067,1,conv_A
GOTERM_BP_DIRECT,ventral spinal cord development,2,1.3,0.067,1,conv_A
GOTERM_BP_DIRECT,positive regulation of T-helper 2 cell cytokine production,2,1.3,0.067,1,conv_A
GOTERM_BP_DIRECT,cAMP catabolic process,2,1.3,0.067,1,conv_A
GOTERM_BP_DIRECT,negative regulation of vascular smooth muscle cell differentiation,2,1.3,0.067,1,conv_A
GOTERM_BP_DIRECT,positive regulation of cysteine-type endopeptidase activity,2,1.3,0.074,1,conv_A
GOTERM_BP_DIRECT,regulation of hemopoiesis,2,1.3,0.082,1,conv_A
GOTERM_BP_DIRECT,positive regulation of interleukin-5 production,2,1.3,0.082,1,conv_A
GOTERM_BP_DIRECT,heterochromatin organization,2,1.3,0.082,1,conv_A
GOTERM_BP_DIRECT,organ induction,2,1.3,0.082,1,conv_A
