"","norm_avg","norm_std","c1_avg","c1_std","c2_avg","c2_std","c3_avg","c3_std","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00334820",0.0165773102505297,0.00390934005121873,0.0178413075085506,0.00537681381913763,0.0172005718964135,0.00416666974012306,0.016553969890466,0.0030488031947433,0.433611696327286,0.646103258108119,0.817655882428316,0.502076701010542,0.690971539921183,0.845093999288326
"cg00418469",0.0332648356554153,0.00469976614335956,0.0403944247954918,0.0170473219774371,0.0352052366110883,0.00515156182435041,0.0351225922931878,0.00634498804067058,0.00400413577870284,0.0528056637921885,0.127081151737177,0.00717019662697951,0.0683367413781263,0.179545847408488
"cg00549040",0.919332236880822,0.02482857748802,0.803036286077824,0.119619006476202,0.857197517359757,0.0837198413141275,0.842561710571489,0.0858922119360468,3.25800353362382e-09,3.46771890641362e-05,0.000106636483462652,1.6724418139269e-08,7.970577784891e-05,0.000414015139646712
"cg00709652",0.654757313790833,0.0667157966085016,0.567428573912781,0.216741562247074,0.546195209634003,0.190520107339111,0.509177605432324,0.192972003512896,0.00400413577870284,5.53277232917537e-08,9.83738103976783e-06,0.00717019662697951,1.73887130345512e-07,5.41055957187231e-05
"cg00764470",0.051913856060715,0.00861929057654951,0.0499023736007269,0.00813200611726537,0.0487449464680134,0.00879819288578798,0.0514270581908743,0.00655343391989062,0.27701540612366,0.0135219608606953,0.937943002865863,0.328156711869566,0.0200229035821835,0.944073349289822
"cg00771346",0.890745370745949,0.0157834697030763,0.892658682455502,0.0216127245591727,0.894099811760193,0.0206945579496193,0.888114492924399,0.0353255324418018,0.8224528798051,0.184176390601088,0.344810801972494,0.855795564121523,0.218178185788982,0.396275100774359
"cg01130364",0.133889919053974,0.0272855201696278,0.369316424352929,0.197994279452763,0.124150220655122,0.0623603395049059,0.129559757618287,0.0484733872476638,4.51998016792743e-09,0.00103289183812705,0.285881571036751,2.10932407836613e-08,0.00196376966755019,0.343951265153592
"cg01698392",0.824415396196665,0.0454813190510471,0.836462776724321,0.0697196381731689,0.853494060122808,0.0839227035677795,0.72382612102566,0.110182337886143,0.0183681801613781,1.03757762569545e-05,9.75062356411982e-08,0.0280069281668537,2.5363008628111e-05,7.90313699407606e-07
"cg01718788",0.0464604075133751,0.00991098531311043,0.0723178480210658,0.0322109779299094,0.0590234824575516,0.0149332114010964,0.050815766947374,0.0125059155036596,6.93332664316593e-05,1.33414853564773e-06,0.156174160689081,0.000184091776387509,3.54239438775431e-06,0.210972111808057
"cg01940657",0.693091744510966,0.0458153500855385,0.844183310949278,0.0511997403610766,0.906512901008448,0.0337770677804215,0.790167161951033,0.0865779714340829,0,0,2.34608577009965e-09,0,0,3.28452007813951e-08
"cg02108015",0.688864612192668,0.0398790094348826,0.828861316334654,0.0813789922954779,0.882653603689374,0.0683175069453724,0.727062103935014,0.190809005648527,0,0,1.35258653211068e-06,0,0,9.05644895413237e-06
