"","norm_avg","norm_std","c1_avg","c1_std","c2_avg","c2_std","c3_avg","c3_std","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00953355",0.0610996610148932,0.0258333428276063,0.459657869803032,0.181799258618782,0.205477017142982,0.206045346759177,0.16206480369045,0.200170627669159,2.26262342195582e-11,4.19223337488894e-07,0.00302000413837222,8.29628588050468e-11,9.22291342475567e-07,0.00369111616912161
"cg02540440",0.823153819069002,0.188015652297332,0.800557655367544,0.19924997280803,0.970622299815221,0.0100624169900346,0.608263055719486,0.222686388221759,0.23179570194042,0,3.34096411536144e-07,0.23179570194042,0,7.35012105379518e-07
"cg06527318",0.542574290748705,0.0923689821271225,0.494572792683445,0.24665897517575,0.496355120355798,0.235634554645647,0.386163898568414,0.279066748103678,0.195387783449327,0.00840845132712109,9.2146901129575e-05,0.21492656179426,0.0102769960664813,0.000126701989053166
"cg09444327",0.0373755061132753,0.0681596424269107,0.327429844730122,0.285925347966109,0.0392716870465462,0.0233843212201114,0.0372175605306896,0.0142341663918779,2.94219483631952e-06,7.83405786242142e-07,2.9363220509282e-05,4.62344902850211e-06,1.43624394144393e-06,4.61422036574431e-05
"cg09676669",0.324478851135798,0.0437004195251254,0.476174838886906,0.220603565786314,0.136830152387166,0.109129509940553,0.219606210172287,0.214056458818134,4.96822526896423e-07,0,2.43371989228081e-12,9.10841299310109e-07,0,2.67709188150889e-11
"cg12992385",0.0295694025474746,0.00646961104779828,0.17906371390268,0.184394076517219,0.0318002460885718,0.0317057794404349,0.0305154962266084,0.0308992634009574,1.08589454872465e-07,7.34587138817577e-06,1.75327107849732e-05,2.38896800719424e-07,1.15435121814191e-05,3.21433031057842e-05
"cg17862275",0.951719872359896,0.0276225616669718,0.904994813437308,0.132307201317553,0.94846604906102,0.0331286894842382,0.951997035070149,0.00761468300408015,0.0164489776020905,0.128762488528759,0.243741922342976,0.0226173442028745,0.128762488528759,0.243741922342976
"cg21016188",0.166077789783166,0.238726268413552,0.2997176543704,0.241375678534283,0.0207462168830662,0.0117051550058322,0.450734982826198,0.165603689145992,0.0314574139799593,0.00400600728818679,9.33665367242043e-11,0.0384479504199502,0.00550826002125683,5.13515951983123e-10
"cg21879102",0.389676873665753,0.0630499453385979,0.787443702934618,0.217233797809524,0.381043488720547,0.247565413145839,0.31817200866491,0.222186148572787,2.26262342195582e-11,3.35501346926392e-07,1.5185011692509e-08,8.29628588050468e-11,9.22291342475567e-07,5.56783762058662e-08
"cg21885046",0.0177252095132365,0.0133137636649213,0.16761967225544,0.172652561300036,0.0253242398603415,0.038968490873347,0.0185750899138733,0.0164712759158168,4.7861585583675e-08,0.0485431452261258,0.0552480335764377,1.31619360355106e-07,0.0533974597487384,0.0607728369340815
"cg23331981",0.472699863308922,0.0850881416667716,0.922755830729764,0.0723438272571699,0.351955845277253,0.244533726036487,0.378529803161904,0.261233691249996,6.99440505513849e-15,4.77962336375981e-10,1.32784399586861e-07,7.69384556065233e-14,1.75252856671193e-09,3.65157098863866e-07
