Category,Term,Count,%,P-Value,Benjamini
GOTERM_BP_DIRECT,phosphatidylinositol biosynthetic process,3,4.5,1.00E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of ureteric bud formation,2,3,1.30E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of epithelial cell differentiation,2,3,2.70E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of transcription from RNA polymerase II promoter,12,18.2,2.80E-02,1.00E+00
GOTERM_BP_DIRECT,cAMP catabolic process,2,3,3.00E-02,1.00E+00
GOTERM_BP_DIRECT,ventral spinal cord development,2,3,3.00E-02,1.00E+00
GOTERM_BP_DIRECT,organ induction,2,3,3.60E-02,1.00E+00
GOTERM_BP_DIRECT,gene expression,3,4.5,3.70E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of cardiac muscle cell contraction,2,3,4.60E-02,1.00E+00
GOTERM_BP_DIRECT,layer formation in cerebral cortex,2,3,4.60E-02,1.00E+00
GOTERM_BP_DIRECT,semaphorin-plexin signaling pathway involved in axon guidance,2,3,4.90E-02,1.00E+00
GOTERM_BP_DIRECT,astrocyte differentiation,2,3,5.60E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of branching involved in ureteric bud morphogenesis,2,3,6.20E-02,1.00E+00
GOTERM_BP_DIRECT,neuron fate specification,2,3,6.20E-02,1.00E+00
GOTERM_BP_DIRECT,pharyngeal system development,2,3,6.20E-02,1.00E+00
GOTERM_BP_DIRECT,neuron projection development,3,4.5,7.10E-02,1.00E+00
GOTERM_BP_DIRECT,cochlea morphogenesis,2,3,8.40E-02,1.00E+00
GOTERM_BP_DIRECT,protein phosphorylation,5,7.6,8.90E-02,1.00E+00
GOTERM_BP_DIRECT,"positive regulation of transcription, DNA-templated",6,9.1,9.60E-02,1.00E+00
,,,,,
KEGG_PATHWAY,Morphine addiction,3,4.5,3.80E-02,1.00E+00
KEGG_PATHWAY,Maturity onset diabetes of the young,2,3,8.50E-02,1.00E+00
