"","norm_avg","c1_avg","c2_avg","c3_avg","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00187465",-0.383690806521134,0.0338816394509412,0.328136467284908,-0.069424175719508,3.01072559198978e-05,0,6.81223576590728e-05,5.78985690767266e-05,0,0.000189228771275202
"cg00293189",3.11803915672453,2.82428203704908,3.07090143790884,2.83834556787292,0.0313401590472827,0.0734581758912636,0.000113260441760854,0.037309713151527,0.0816201954347373,0.000289588219047343
"cg00738345",1.33200742256487,1.31245408212654,1.88114656983323,1.55933844251704,0.00106578477255548,0,8.66509650698788e-07,0.00152254967507925,0,3.33272942576457e-06
"cg00989961",2.5952762811174,1.55952372199186,2.62375703777797,2.27060511322057,5.37232366371043e-08,0.0181318444785636,0.286568292740298,1.27912468183582e-07,0.0226648055982046,0.32440319440069
"cg01842720",-1.18967505368254,-0.151040695682658,-1.26224396595809,-1.33364137663305,1.95230320132467e-07,0.00207421125362695,0.000252616431552277,4.43705273028334e-07,0.00314274432367719,0.000549166155548429
"cg02137583",1.47872898017836,1.36332681624651,1.61758593830091,1.55687508291743,0.0865900708918467,3.67453714966715e-06,0.000869244387449952,0.0921170966934539,7.65528572847322e-06,0.00160971182861102
"cg02370605",-2.57841723934309,-1.53035513974869,-2.30417386292211,-2.36350402516492,5.36257063199486e-08,0.00103302206955513,0.0112800901597175,1.27912468183582e-07,0.00172170344925856,0.0156667918884966
"cg03497652",0.389049564620912,2.57106922652978,1.35668977042596,1.33183362769051,1.94066984704477e-13,5.67521918348746e-10,1.68779624165616e-07,1.61722487253731e-12,1.41880479587186e-09,7.032484340234e-07
"cg03633458",0.71704647608498,0.806847135271407,0.792370768498299,0.604184996383916,0.00480434505925298,0.000231215176964894,0.000115835287618937,0.00632150665691182,0.000412884244580168,0.000289588219047343
"cg04021363",0.459095550756177,0.109450941781259,-0.356698352496165,-0.0145662067063717,1.82726714536008e-05,0,3.77972741993915e-09,3.65453429072016e-05,0,1.71805791815416e-08
"cg04125371",-4.49685963380791,-3.04141771179586,-4.55686785451662,-4.55297424817183,0.000389749724179822,0.661211876564204,0.941676302764427,0.000608983944030972,0.688762371421046,0.941676302764427
"cg04157979",0.749572042248908,1.87167941588328,2.0697397019615,1.46509232525131,0,0,0,0,0,0
"cg04565547",-2.11792403040883,-2.30385283295522,-2.34288790758408,-2.33298094968538,0.0174490080876409,1.94627133998093e-06,3.36784126335754e-05,0.0212792781556597,4.23102465213246e-06,0.000105245039479923
"cg05463813",3.10928033345285,2.67380354688084,3.61999831123246,3.19809620642737,0.0377082329103982,9.22240523559825e-06,0.431715807950273,0.042850264670907,1.84448104711965e-05,0.469256312989427
"cg05563672",-3.53003475650676,-2.25509893127968,-3.61588427499724,-3.66436160297391,0.00045782344491907,0.0421350121312186,0.0021203353155973,0.000692639318790731,0.0489942001525798,0.00365575054413327
"cg07230062",2.75889089206148,1.26129199302147,2.94925694465247,2.59755279930255,7.23243021027997e-10,0.0136706257687852,0.291962874960621,2.59370818473619e-09,0.0179876654852437,0.32440319440069
"cg07482574",2.74018525076744,3.30136210980371,3.68890271430166,3.48228993859102,3.23934967738637e-09,0,1.97508676080815e-11,1.07978322579546e-08,0,1.64590563400679e-10
"cg07708286",3.16129496175524,1.37618450926655,3.07097631926728,2.89263039247751,2.71809965646241e-08,0.0149277869202111,0.124891926995172,7.55027682350671e-08,0.019138188359245,0.160117855122015
